Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Other Scientist","Scientist 2, QC Viral Vector",Excel,1
"Data Scientist","Digital Health Data Scientist",Excel,1
"ML Engineer","Machine Learning Engineer",Excel,2
"Data Scientist","Clinical Data Scientist",Excel,1
"Data Scientist","Data Scientist/ML Engineer",Excel,1
"Data Analyst","Business Data Analyst, sql_",Excel,1
"Data Engineer","Data Engineer 4 - Contract",Excel,1
"Data Analyst","Data Analyst - Asset Management",Excel,1
"Other Scientist","Senior Research Scientist - Embedded System Development for DevOps",Excel,1
"Data Analyst","Web Data Analyst",Excel,1
"Data Scientist","Customer Data Scientist/Sales Engineer",Excel,1
"Data Engineer","MongoDB Data Engineer II",Excel,1
"Data Analyst","System and Data Analyst",Excel,1
"Data Analyst","Data & Analytics Consultant (NYC)",Excel,1
"Data Analyst","Senior Data Analyst",Excel,5
"Data Scientist","BI & Platform Analytics Manager",Excel,1
"Data Scientist","Director, Data Science",Excel,1
"Other Scientist",Scientist,Excel,1
"Data Scientist","Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",Excel,1
"Other Scientist","Pricipal Scientist Molecular and cellular biologist",Excel,1
"Data Scientist","Data Scientist (Actuary, FSA or ASA)",Excel,1
"Data Analyst","Survey Data Analyst",Excel,1
"Data Scientist","Customer Data Scientist/Sales Engineer (Bay",Excel,1
"Data Engineer","Data Engineer 5 - Contract (Remote)",Excel,1
"Other Scientist","Senior Scientist - Neuroscience",Excel,1
"Other Scientist","Research Scientist",Excel,2
"Data Analyst","Jr. Business Data Analyst",Excel,1
"Data Scientist","Analytics Manager",Excel,1
"Data Analyst","Digital Marketing & ECommerce Data Analyst",Excel,1
"Data Analyst","Junior Data Analyst",Excel,1
"Other Scientist","Sr. Scientist - Digital & Image Analysis/Computational Pathology",Excel,1
"Other Scientist","Principal Scientist - Immunologist",Excel,1
"Not Specified","Data Management Specialist",Excel,1
"Data Analyst","E-Commerce Data Analyst",Excel,1
"Data Scientist","Sr. Data Scientist, Cyber-Security LT Contract",Excel,1
"Other Scientist","Sr. Scientist II",Excel,1
"Data Scientist","Principal Data Scientist with over 10 years experience",Excel,1
"Data Analyst","Insurance Financial Data Analyst",Excel,1
"Data Analyst","Data Analyst / Scientist",Excel,1
"Data Engineer","Data Engineer I - Azure",Excel,1
"Data Analyst","Excel / VBA / sql_ Data Analyst",Excel,1
"Data Scientist","VP, Data Science",Excel,1
"Data Analyst","Financial Data Analyst",Excel,1
"Data Analyst","Radar Data Analyst",Excel,1
"Data Scientist","PL Actuarial-Lead Data Scientist",Excel,1
"Other Scientist","PV Scientist",Excel,1
"Not Specified","Software Engineer - Data Visualization",Excel,1
"Data Engineer","Data Engineer, Data Engineering and Artifical Intelligence",Excel,1
"Data Analyst","Analytics - Business Assurance Data Analyst",Excel,1
Director,"Associate Director/Director, Safety Scientist",Excel,1
"Other Scientist","Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",Excel,1
"Data Analyst","Products Data Analyst II",Excel,1
"Data Analyst","Program/Data Analyst",Excel,1
